"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Ano3",-0.180164942161399,8.85622076073964,-2.14782197694686,0.0546431067653068,0.203463192030817,-4.33978811496017,"Non-Significant"
"Med16",0.186875583687816,6.85680455157739,2.0491500565993,0.0648494606009222,0.224874050352237,-4.34368091458527,"Non-Significant"
"Lzts2",0.193919847168589,6.87700639810315,2.05112499712293,0.0646286440508455,0.224662567415498,-4.34623956258036,"Non-Significant"
"Tmem179",0.24705203463491,8.3444676854906,2.12209734767357,0.0571469333731386,0.209070338214843,-4.34754161003161,"Non-Significant"
"AI593442",0.241748222713466,8.00028926218645,2.11403459480193,0.0579537897526988,0.210274408638653,-4.34825445370185,"Non-Significant"
"Mfhas1",-0.246026854917831,8.0084634162721,-2.10508744602441,0.0588617486488089,0.212326280872139,-4.36082283206367,"Non-Significant"
"Igfbp2",0.452946247659416,6.68718655059366,2.02372953769204,0.0677555992466662,0.23153975465156,-4.36491210382894,"Non-Significant"
"Arf3",0.144192013710311,10.5999740526206,2.12622528360263,0.0567379660833664,0.208348845627147,-4.3671923035213,"Non-Significant"
"Grk3",-0.184040329189941,8.52089316933967,-2.11870953195585,0.0574846565311575,0.209732847670899,-4.37086874520979,"Non-Significant"
"Epm2aip1",-0.249675289273997,8.52415736935096,-2.12027204019747,0.0573286599994594,0.209449047037588,-4.37159307325805,"Non-Significant"
"Chgb",-0.2440710311514,8.30833145829956,-2.11321775968719,0.0580361302475986,0.210274408638653,-4.37325688324034,"Non-Significant"
"Rps25",-0.340856843308991,8.09639063251402,-2.10462494618624,0.0589090465601192,0.212326280872139,-4.37396498619983,"Non-Significant"
"B4galnt1",0.241808287534155,7.04369405568334,2.03406331928579,0.0665597982516703,0.22902408884601,-4.37823103234732,"Non-Significant"
"Elmod1",0.209867300477486,7.96628480487704,2.08858942785354,0.0605712877660729,0.216172616387875,-4.38161922157118,"Non-Significant"
"B4galnt4",0.198868461915574,7.53952493955027,2.06990712223663,0.062563633313423,0.220744940729047,-4.38820492764159,"Non-Significant"
