"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Cap2",3272.03189268564,2483.93226555873,3042.98951580147,2894.16136988859,4048.80193679481,1980.35626711464
"Suds3",3269.98154681392,2226.45948445045,3240.15515615226,1746.23678808182,3071.63153931644,1342.48555321931
"Rpn1",3266.86070802405,2685.42124665167,3032.40532225946,2695.88348757651,3993.65472751019,1654.40303089498
"Oprl1",3266.53406796963,2662.93426453003,3034.87283775758,2313.24196030759,2868.95187411966,1590.64301292704
"Gps1",3258.61614908858,2431.8235662129,2928.86796442723,2010.60729783126,3425.99521989138,1635.51854995484
"Cpd",3256.95513359003,2913.24088079363,3062.39856880931,3106.3534895559,3502.83298788237,1906.74134927089
"Smim7",3255.73833295454,2354.76908266742,2992.27689810191,2198.44950212691,3125.37652896884,1608.28662025232
"Ankrd11",3252.71139470894,2740.17490887006,3465.39230517998,2904.59704790502,3602.5892412165,1962.838025063
"Gars",3251.17473249723,2266.80099450669,2920.35304852497,2274.97780758069,3585.08804027129,1521.15135631506
"Cox7a2l",3248.83770925664,2096.57495819079,3825.12717496691,3127.22484558875,2706.83196492579,1266.93443112905
"Sparc",3246.79906174526,2351.11814707288,3006.35399907208,2000.17161981483,3294.477197455,1522.21951162988
"Vmp1",3246.79418950091,2731.723960277,3758.64915477456,2935.90408195429,3228.00366078387,1473.44970818901
"Nwd1",3244.93814935321,2405.97072994536,4261.61625847731,1627.96577056233,4083.86671686449,1769.84329106755
"Hras",3244.75764031042,1882.2796594891,2994.9205375539,2219.32085815976,2975.54997401858,1209.53366759903
"Slc2a13",3242.61655628439,2524.58370268817,3184.38245938635,4153.39985053723,3370.88103586954,1860.9812482865
"Sowaha",3241.23495538612,2187.25389563436,3111.25986546557,1753.19390675943,3924.9203351904,1629.36766039373
"Ndn",3232.77821819126,2073.11682337531,1878.98832343197,2028.0000945253,2539.9745138641,1483.93229103314
"Acly",3232.08663329,2401.21590878073,3162.81869903321,2504.56272394205,3713.81994372383,1775.59450276189
"Fam19a2",3231.51020722249,1967.56765112167,2149.62735042139,2198.44950212691,2838.49182617368,1376.52548132952
"Mtmr4",3226.49491768547,2826.21516781352,3360.93541317945,3367.24543996653,3578.61842674122,1790.12072107934
"Gad2",3221.34979459846,2799.35408036749,3141.13589439188,3822.93671335043,3438.34603236565,1967.7991002456
"Nmt1",3220.92756029053,2756.37701972203,2981.54302381094,3523.78061021291,3678.07100020089,2053.89549094083
"Kcnh3",3215.10693383821,2209.36125711549,2886.18990176083,1975.82170444317,3384.57519705092,1641.07857438514
"Acsl5",3214.4663611669,2652.77697543951,3295.96753404967,2441.9486558435,3482.0558666863,1766.62333378559
"Rbbp4",3208.9580440588,2607.45472100264,2615.71985040037,2271.49924824189,2949.48825323467,1477.16094297618
"Trim8",3204.03502994199,2217.32532005048,2796.29781085056,1701.01551667731,3232.80774088459,1615.32208733673
"Got2",3201.38347079456,2149.34706900562,2526.0270156651,2633.26941947796,3255.84312741842,1684.73072727075
"Stx6",3200.77369473334,2643.58557303356,3007.48138916386,2828.06874245123,3371.07950151348,1843.89859445917
"Pcyox1",3200.62033908555,2518.19707992942,2616.18094965608,2695.88348757651,2890.53929952471,1814.91733697443
"Zeb2",3198.78157087185,2297.3963745286,3600.21797339553,2901.11848856621,3294.79645951568,1626.42742187102
"Ap2a1",3197.18613872693,2380.92913944982,2604.38457070888,2601.96238542868,3288.12819525749,1752.4108015838
"C2cd2l",3196.98110318665,2098.27877885731,2170.41178666161,1909.72907700581,3351.41605925031,1604.0248749082
"Tmtc1",3196.90255384791,2197.55883523114,3554.13293262841,3012.43238740808,3056.80217843564,1676.6461067369
"Ran",3193.88113243354,2292.48542820116,3204.12176278107,2925.46840393787,3054.82591888735,1389.06252205206
"Gdi2",3191.22832302061,2029.9652287517,2840.33568037138,2918.51128526025,2941.92721759812,1505.37122802662
"Epb41l3",3189.65802484085,2811.30631797521,3008.95436856177,3040.26086211854,3321.76199992522,1865.4639083244
"Hbb.b1",3189.22151497698,1892.45945120677,3812.75062334655,2803.71882707957,9630.5986894862,658.827828595436
"Zbtb38",3188.49211239698,2178.94927489548,3960.21090231303,3398.55247401581,3314.35054279872,1393.16120254746
"Kcnk1",3181.03657006508,2671.51539799488,3147.56046135278,2588.04814807345,3469.50097147804,1593.95233742079
"Gak",3180.66811680946,2569.46177006445,2948.22687384696,2132.35687468955,3590.37603497402,1667.44526333014
"Slc25a12",3172.60871590703,2282.29647023936,2650.92894735664,2285.41348559712,3398.40659064907,1733.92337521386
"Fam179b",3171.70920349151,2224.0112776969,3087.86579474625,2511.51984261967,3706.80820767063,1386.91326772561
"Xpot",3168.38595188113,2255.77650712081,3020.39344656368,2452.38433385992,3395.65836798354,1480.52371040085
"Ppme1",3168.00534500256,2310.00590879895,2759.86780184627,2706.31916559294,3252.32100833602,1772.49190261957
"Nudcd3",3166.2421204322,2793.66312677011,2672.55248393988,2243.67077353142,2842.82778892236,1895.49067981849
"Cmip",3162.25364438777,2627.67375824072,2626.14222638533,2497.60560526443,3551.11924955089,2002.68204123943
"Atmin",3158.19287166995,1593.84692874935,3391.49695536378,1370.55237949051,3283.70647510763,1150.2286560995
"Trim35",3157.56611856665,2613.81324332721,2829.66540403571,2883.72569187217,3210.27368030603,1877.55981805776
"Arhgap20",3154.70807128285,1636.94825665316,3810.76715756766,2608.9195041063,3398.26783948018,1189.05404821132
"Gsk3a",3150.83560444204,2282.71865665548,2155.74473194118,1815.80797485799,3126.27288490628,1767.14980716642
"Ank",3145.81464897089,2752.66479355013,2579.75476515386,2535.86975799133,3427.32706657788,2167.07265690213
"A830010M20Rik",3145.20396739938,2796.40038576452,3316.8232298689,3676.83722112048,3486.90802670631,1745.16569826642
"Chmp1a",3145.19503188177,2294.32794022702,2666.84112037021,2083.65704394623,2949.469462589,1558.50419697559
"Rps14",3135.82940162285,1887.01268212409,4268.82509973661,5826.58689250407,2250.70971771908,834.310902731699
"Ccser2",3125.90733991514,2438.04808620559,3235.58355588384,3809.0224759952,3095.34845683347,1718.47749388271
"Slc25a23",3123.66573988923,2415.58775486705,2100.85879516038,1951.47178907151,2654.30804674612,1795.56046558309
"Emc10",3121.9209538618,2530.97060724339,2265.52101424963,1947.99322973271,3299.51463504695,1955.62803514485
"Ahnak",3120.53295463487,2420.77656348166,3638.85904254394,2365.42035038971,3505.48589964616,1763.72763842162
"Ptpn5",3117.84058349575,2181.53141655513,2816.40680679287,2316.7205196464,3863.66572262691,1468.48706729014
"Puf60",3116.55461479635,2327.4184163554,2731.24002217083,2546.30543600775,3249.09047406503,1526.17417101406
"Kcnd2",3114.14092800227,2765.32532491469,3034.79567551718,2476.73424923158,2981.28995522387,1524.13534384838
"Akr1a1",3112.58239452971,1940.82892793822,2386.99511161896,2264.54212956427,2650.08857894578,1413.63138820088
"Prdx6",3109.50516585491,1940.83235320152,2717.36464292886,2052.35000989696,3276.68648883628,1497.05996515653
"Stip1",3109.18593673393,2334.39015269105,3144.75397573919,2351.50611303448,4558.75507186759,1619.704966168
"Necap1",3098.9333666512,2296.23785260844,2694.10560510988,3214.18882905896,3194.89696677208,1685.99621441749
"Chgb",3097.59986608858,2664.24414297481,3538.66586198367,3662.92298376525,2750.27145811834,1562.06410456663
"Zbtb4",3094.47459394526,2100.10577070352,3049.33501044336,2365.42035038971,3331.95122710881,1616.37134531068
"Aamp",3092.21640945732,2520.68042976274,3061.23188745364,2622.83374146154,3113.46885711676,1485.33669113582
"Josd1",3089.19693339676,2343.29099493465,2837.89875794932,2212.36373948214,3346.99714019825,1781.99271697291
"Limch1",3083.15156695033,2626.21913332016,3286.98558851744,2174.09958675525,3557.25068882587,1760.35841904326
"Atp6v0d1",3082.53938500739,1884.75115337271,2689.20854997695,2087.13560328504,3191.60726836801,1417.73350431527
"Kctd3",3074.30545549864,2643.635084458,3303.07206018072,2807.19738641838,3396.10534833084,1607.16300740994
"B3gat3",3067.32616199895,2001.66963779663,2271.76973195576,1864.5078056013,2871.98051849162,1552.22160448499
"Evi5l",3065.15419830687,2675.29810909392,3042.36276615601,2532.39119865252,3312.19504679582,1781.41014483903
"Med13l",3064.15759753211,2653.40621936345,3757.97743178179,3005.47526873046,3633.59135061295,1881.55278954286
"Prkrir",3064.01491623457,1810.62487213808,3193.01734721242,1829.72221221322,2467.30733262472,1171.66721878434
"Gna12",3058.71280267681,1973.59876828177,3218.45783234411,1280.10983668149,3160.17527702595,1555.10043356099
"Socs5",3058.10706816382,2594.56185966091,2628.79698453,3158.53187963803,2622.80881799147,1650.61910573757
"Rplp0",3056.39002081194,1849.1263723593,3063.22737786848,2257.58501088665,3004.66687161266,1288.39011707313
"Smap2",3056.36195440302,2471.45005103325,2295.65238531452,2222.79941749857,3574.42833087262,1876.36598668436
"Cabp1",3056.36016639391,2484.16872369282,2671.01802304369,2034.95721320292,2824.96173596677,1630.42954909297
"Syt16",3055.66588281979,2006.37194855397,2707.48266517301,1913.20763634462,3127.2828886085,1619.44913841141
"Usp46",3052.46600571045,2373.94882108688,2775.58612616486,3165.48899831565,3008.40224998136,1683.39607865062
"Cox6b1",3047.26775203578,1639.82213586327,4589.97342928617,2469.77713055397,2529.45351076602,891.595737811655
"Tbc1d9",3045.99431722072,2305.57531311233,2579.36315000516,2400.2059437778,3201.9143445602,1547.77198004384
"Psmc1",3043.55364524436,2325.57920971217,3506.57341252833,2942.86120063191,2916.91431440248,1386.98834325455
"Exoc3",3043.34566142691,2408.83543044719,3043.02735554609,2445.42721518231,3253.85209986592,1514.03839790953
"Glud1",3042.34117658423,1851.39115989971,2390.30048781711,2066.26424725219,2824.86393302006,1423.19113105371
"Cnih3",3039.70147239085,2057.45370501497,2429.25923488623,2062.78568791338,2918.56126093177,1532.65447236871
"Mgat1",3037.65822976705,2107.30487760779,2794.60986173567,1721.88687271016,2861.71283057574,1533.06812987406
"Lrrc10b",3037.19691302124,1941.56541829287,3698.10630899395,2031.47865386411,2874.52410662665,1122.47649412345
"Psmd1",3035.07901649333,2671.76994759884,3057.8358710724,2845.46153914527,3145.92603825201,1498.3656238774
"Ndfip2",3033.86661683196,2450.40994557797,3210.19713807971,3419.42383004866,3128.29205935053,1656.3314548014
"Anapc1",3032.90848957676,2544.1479986967,3121.62021122831,2323.67763832401,3285.9509523083,1552.09521839515
"Becn1",3032.15465442325,2580.17178180843,2792.54679556086,2737.62619964221,3085.59137589299,1634.91770918423
"Pdzd8",3030.78059468909,2070.34525616143,3048.39952182326,2650.662216172,3019.21763630737,1432.72116841485
"Dennd5b",3026.45159997913,2612.65365306328,3424.26988306132,3328.98128723964,3426.82518575747,1762.04535932821
"Cdip1",3025.20488067956,2220.08675841938,2662.4766902889,2633.26941947796,3182.93380654279,1794.9456027711
"Pdxdc1",3025.15589278066,2212.12483342897,3073.02868450395,2424.55585914946,3159.41459330734,1376.32505402232
"Napa",3024.82289469312,2337.09899260299,2307.4681906004,2104.52839997908,2879.49416012685,1614.88844201884
"Mlc1",3023.81769972922,2163.40092906773,2443.98770241318,1798.41517816394,3107.70043313046,1618.55120675428
"Dpy19l1",3021.63355069783,2492.56551319111,2874.54329545876,2567.1767920406,3132.01137612152,1683.02643354125
"Ttbk2",3019.56459430633,2027.34552050747,3806.83384567952,3457.68798277555,3138.56257948162,1389.09229905876
"Pitpna",3015.07093007685,2081.9542279416,2568.30674632273,3374.20255864415,2555.17109005992,1479.81755692879
"Mbnl2",3009.23697732684,2191.75912455921,2539.95707419226,3482.03789814721,3236.34989320983,1687.03004573718
"Zfp644",3008.82494158281,2065.79378099575,3790.41469050493,3332.45984657845,3289.61504879467,1310.42494287413
"Dnajc18",3008.32248992697,2633.29405059598,3091.23721035476,3335.93840591726,2933.58241822532,1913.64606842163
"Rabl6",3006.80131541714,2361.25906100771,2806.38379466488,2021.04297584768,3565.50533376299,1646.90691257999
"Akt2",3003.04478848229,2382.9830851635,3203.70363521307,2424.55585914946,3664.26407383058,1692.24681810552
"Meis2",3002.24478078782,2021.63849250851,2881.44043171845,2640.22653815558,3264.34234625125,1525.7838863413
"Neurl4",2999.45483634894,2566.92952967443,2839.07001838677,2055.82856923577,3510.66189456567,1722.32674932234
"Ptp4a2",2994.68878270039,2251.85530154815,2729.53799420722,2904.59704790502,3049.74494178763,1660.88758351767
"Urgcp",2987.3129778403,2284.98943158669,2986.19067640388,2250.62789220904,3202.80044203957,1478.93839908236
"Strap",2985.74735142571,2405.59147726911,2604.47260156367,2838.50442046766,2890.43667026114,1547.53573123701
"Psmb1",2985.07606678845,1671.65923055773,3449.11920655428,2205.40662080453,2546.80427086373,921.769238073997
"Orai2",2983.91430738875,2375.33706756455,2862.71218142817,1742.75822874301,2906.97941030769,1812.9067660748
"Dnaja2",2983.46482337317,2495.87857446262,3269.01323928126,3085.48213352305,2989.6736175018,1510.54641879861
"Kcnv1",2981.5933280533,2072.50844705601,2861.78079929455,3429.85950806508,2959.16110173729,1407.29268209241
"B3gat1",2980.92583560935,2536.32859435031,2319.24608556676,2410.64162179422,3196.61226385389,1980.75411571371
"Arpc1a",2980.64165151726,2503.06906939785,2696.68833070301,2848.94009848408,3132.26814771548,1664.60486329705
"Trp53bp1",2973.96920099447,2550.93402465185,2873.39648631362,2744.58331831983,3198.69799724001,1703.42522071666
"Nceh1",2973.77469157723,2424.5757860459,2529.35648226563,3054.17509947378,2931.98935145278,1725.95715710794
"Chmp7",2968.97918341913,2373.56613587385,2772.39566749247,2716.75484360936,2847.94247001693,1516.71136077266
"Os9",2963.34015417773,2515.46517976805,2695.29611935275,2751.54043699745,2982.86124308406,1629.41575888484
"Guk1",2961.8667261932,1935.38894755624,3421.27512835514,2358.4632317121,2662.95678786546,1014.14913493078
"Sepp1",2959.58747068777,1643.50360351813,3177.44354723048,1975.82170444317,2782.51246206243,1200.95557475037
"Gas6",2957.75000141446,2078.39394862653,2598.66911401445,1781.0223814699,2654.99383661404,1304.47499243031
"Sorbs2",2957.64240066482,2088.71551402247,3009.69389931518,2654.14077551081,2752.54775883387,1303.11618492466
"Rpl15",2957.42515549731,1452.57432725367,3817.68773490793,2309.76340096878,2785.76388802068,1057.98180504339
"Gpr37l1",2949.42106168199,2207.38710444404,2261.64785698061,1784.50094080871,2975.02487820113,1602.61946813285
"Gabra4",2948.18091021306,1699.16034015527,3028.52523724351,3158.53187963803,2620.51333234904,1141.00011032171
"Ncoa2",2947.41173581044,2189.17081401782,3199.63535686212,2428.03441848826,3261.06990962153,1438.54984670547
"Zmym2",2946.81385825135,2454.84640401533,3393.24112708362,3763.80120459069,2972.33110260421,1393.02977955546
"AI593442",2946.59081139152,2486.30930286277,2405.37181550541,3600.3089156667,2254.85633174868,1602.66639350366
"Erbin",2945.65994893923,1678.5789468451,3503.09902428666,1259.23848064864,2628.30911257956,1067.97616934001
"Tollip",2938.7267345068,2504.42375128195,2597.2216579938,3555.08764426219,2895.84437469959,1816.15862198611
"Hnrnpul1",2938.55005150013,2060.31603132793,2870.95385912638,1923.64331436105,3054.98022349897,1329.60182941718
"Dcaf6",2938.22656609366,2212.60590481179,2661.04577987907,1787.97950014752,3189.24695689551,1362.32877311279
"Cacna1i",2937.15006173517,2230.57327343599,3382.44099228167,2883.72569187217,3306.66485102465,1681.79784904383
"Irf2bp2",2936.24563774163,2501.86189898076,2787.52259015624,2358.4632317121,3435.12321231828,1675.55741416406
"Lypd1",2935.96596147876,1861.79463925983,2469.0728682984,2535.86975799133,2922.3542229786,1351.36651222472
"Hspd1",2935.84455830765,2469.37744041605,3476.56313718751,3715.10137384737,3138.52140277078,1424.47731718547
"Cxx1a",2935.07592691395,1791.73995835474,2083.52116176384,1499.25907502642,2947.22621969888,1487.82302719531
"Abhd2",2934.74698622089,2470.7843392873,2501.30811460723,2626.31230080034,2574.67501590767,1874.07823150289
"Pikfyve",2932.67129496161,2563.61018356678,3161.96392627868,2981.1253533588,3260.58790586645,1527.11833040367
"Ogfrl1",2930.4443352947,2458.4026109756,2468.03785399603,3729.01561120261,2696.94934064129,1653.4158810035
"Habp4",2928.6248246387,1894.77594328611,2497.76200582141,1941.03611105509,2537.09822714568,1311.19282945468
"Pacs2",2927.83579682972,1986.46246335965,3280.93312763884,1680.14416064446,3110.60336749861,1495.19943174738
"Cs",2923.03947050687,2161.91827867366,2214.99388776688,2323.67763832401,2910.49995515563,1746.26072254772
"Nt5dc3",2922.87681546461,2554.17381596013,2687.9592254932,2487.16992724801,3332.22956618876,1821.63966333337
"Set",2922.77782266059,2388.74295745034,2925.34376488079,3172.44611699326,2718.53815154995,1547.37417820238
"Dgki",2920.22906927082,2498.38125832702,2933.72037765834,3402.03103335462,2846.09434585803,1554.03231188843
"Zbed5",2919.53288968073,1767.20837925746,3487.98462468385,2748.06187765864,2320.96983234215,945.991728158195
"Cnbp",2919.11995951996,2406.03986279723,3460.85968962613,3774.23688260712,2440.59084737479,1356.17581788136
"Vps50",2918.20095678725,2394.88281859601,3163.77106832434,2514.99840195847,3016.99877176648,1339.96132885781
"Tatdn2",2915.60464468245,2064.4094303954,2930.64957476502,1509.69475304285,2861.93640341505,1251.89427170624
"Nrn1",2909.02427173976,1955.94836811932,2732.73497446878,2942.86120063191,2512.16869147093,1341.97468055968
"Acot7",2905.44338137681,1974.88082834291,2260.72585185695,2010.60729783126,3002.87957384199,1284.817757687
